creator_id,handle,follower_count,vertical,region,content_niche,videos_per_month,avg_views_per_video,total_monthly_views,posting_trend,last_post_days_ago,commerce_signals,unique_pois_featured,monthly_gmv_usd,monthly_orders,open_loop_gmv_pct,current_level,months_in_program,level_history,has_email_in_bio
CRE-0001,@creator_0001,200,ACC,Jakarta,budget hotel; hotel review; hotel room tour,37,16440,608280,increasing,3,mentions_prices,12,312.58,7,68,L2,4,L0→L1→L2→L3→L2,True
CRE-0157,@creator_0157,20742,FNB,Bandung,kuliner; cooking; cafe review,37,8792,325304,decreasing,0,mentions_prices,19,54.51,16,84,L3,5,L1→L2→L3,False
CRE-0158,@creator_0158,2807,TTD,Malang,wisata; theme park; adventure,17,4949,84133,stable,13,none,5,20.12,1,28,L1,9,L1 (unchanged),False
CRE-0159,@creator_0159,654,FNB,Jakarta,restaurant review; street food; cooking,2,1519,3038,stable,0,none,4,0.24,0,58,L1,8,L0→L1,False
CRE-0160,@creator_0160,2549,TTD,Jakarta,adventure; cultural tourism; wisata,21,3304,69384,decreasing,18,tags_locations_only,6,7.6,0,73,L1,9,L0→L1,True
CRE-0161,@creator_0161,12201,TTD,Yogyakarta,cultural tourism; adventure; hidden gems,67,9600,643200,stable,2,has_tiktok_shop,28,1126.24,45,84,L3,2,L0→L1→L3,True
CRE-0162,@creator_0162,1270,FNB,Bali,mukbang; street food; kuliner,17,4309,73253,stable,0,tags_locations_only,7,0.75,0,46,L1,12,L0→L1→L2→L1,True
CRE-0163,@creator_0163,39488,FNB,Jakarta,food vlog; cafe review; restaurant review,53,18567,984051,stable,0,has_affiliate_links,57,438.04,125,68,L4,3,L0→L1→L2→L3→L4,True
CRE-0164,@creator_0164,3375,FNB,Surabaya,kuliner; cafe review; cooking,11,6533,71863,decreasing,6,tags_locations_only,3,0.44,0,28,L1,4,L1 (unchanged),True
CRE-0165,@creator_0165,5046,FNB,Medan,mukbang; cafe review; street food,12,5558,66696,stable,10,none,3,1.15,0,51,L1,13,L0→L1,False
CRE-0166,@creator_0166,2482,ACC,Lombok,hotel review; staycation; luxury hotel,16,5285,84560,stable,4,tags_locations_only,2,524.03,12,29,L1,3,L0→L1,True
CRE-0167,@creator_0167,5228,FNB,Bandung,food vlog; restaurant review; mukbang,37,8186,302882,stable,89,tags_locations_only,1,0.95,0,42,L1,10,L0→L1,False
CRE-0168,@creator_0168,411,FNB,Medan,kuliner; street food; restaurant review,9,2963,26667,decreasing,17,none,8,0.79,0,26,L1,4,L0→L1,True
CRE-0169,@creator_0169,651,TTD,Malang,theme park; adventure; hidden gems,19,50,950,increasing,8,mentions_prices,3,16.96,1,23,L1,4,L0→L1,True
CRE-0170,@creator_0170,65521,ACC,Lombok,hotel room tour; luxury hotel; hotel review,40,7936,317440,stable,1,has_affiliate_links,18,2872.44,64,75,L3,8,L1→L2→L3→L4→L3,False
CRE-0171,@creator_0171,106077,FNB,Yogyakarta,food vlog; cooking; cafe review,98,12213,1196874,decreasing,0,has_affiliate_links,65,265.69,76,75,L4,6,L0→L1→L2→L4,True
CRE-0172,@creator_0172,2976,TTD,Yogyakarta,cultural tourism; hidden gems; theme park,24,5834,140016,decreasing,6,none,3,19.39,1,58,L1,9,L0→L1,True
CRE-0173,@creator_0173,3875,FNB,Surabaya,restaurant review; mukbang; street food,21,7530,158130,decreasing,5,tags_locations_only,7,9.53,3,30,L1,13,L0→L1→L2→L1,True
CRE-0174,@creator_0174,33001,FNB,Medan,mukbang; food vlog; restaurant review,38,14568,553584,increasing,1,has_affiliate_links,66,50.45,14,89,L4,4,L0→L1→L2→L3→L4,False
CRE-0175,@creator_0175,11196,FNB,Surabaya,cafe review; mukbang; kuliner,34,27927,949518,increasing,1,has_tiktok_shop,21,18.4,5,84,L3,10,L0→L1→L3,False
CRE-0176,@creator_0176,6377,FNB,Medan,mukbang; restaurant review; cafe review,43,12737,547691,increasing,0,mentions_prices,17,8.52,2,42,L2,8,L0→L2,False
CRE-0177,@creator_0177,4665,FNB,Yogyakarta,cafe review; restaurant review; cooking,1,2316,2316,decreasing,3,none,2,0.78,0,41,L1,2,L0→L1,False
CRE-0178,@creator_0178,3623,TTD,Jakarta,nature; cultural tourism; adventure,11,3676,40436,stable,72,tags_locations_only,4,15.03,1,37,L1,6,L0→L1,False
CRE-0179,@creator_0179,3829,ACC,Jakarta,hotel review; hotel room tour; staycation,34,11272,383248,increasing,4,has_affiliate_links,20,77.2,2,63,L2,5,L0→L1→L2,True
CRE-0180,@creator_0180,4607,ACC,Lombok,hotel review; resort vlog; villa tour,19,631,11989,decreasing,11,none,3,53.03,1,50,L1,2,L1 (unchanged),False
CRE-0181,@creator_0181,1132,ACC,Bali,staycation; villa tour; resort vlog,19,5477,104063,increasing,17,tags_locations_only,8,0.0,0,24,L1,3,L1 (unchanged),True
CRE-0182,@creator_0182,102965,FNB,Surabaya,kuliner; mukbang; restaurant review,45,30295,1363275,increasing,1,tiktok_shop_plus_affiliates,22,189.4,54,78,L4,2,L0→L2→L3→L4,True
CRE-0183,@creator_0183,19010,ACC,East Java,hotel room tour; luxury hotel; budget hotel,35,26756,936460,decreasing,3,has_tiktok_shop,39,3800.89,84,63,L3,5,L0→L1→L2→L3,True
CRE-0184,@creator_0184,31725,ACC,West Java,hotel room tour; budget hotel; resort vlog,38,10752,408576,decreasing,0,has_affiliate_links,35,2425.66,54,74,L3,3,L0→L1→L3,False
CRE-0185,@creator_0185,3662,FNB,Malang,cooking; street food; mukbang,4,1744,6976,decreasing,11,none,1,0.23,0,57,L1,1,L0→L1,False
CRE-0186,@creator_0186,3227,FNB,Bandung,cooking; restaurant review; mukbang,19,11204,212876,increasing,6,tags_locations_only,8,5.11,1,29,L1,4,L0→L1,False
CRE-0187,@creator_0187,24654,TTD,Malang,beach; wisata; hidden gems,52,22356,1162512,stable,1,has_affiliate_links,38,726.32,29,87,L3,13,L1→L2→L3,True
CRE-0188,@creator_0188,1876,FNB,Bali,food vlog; cooking; street food,0,50,0,increasing,87,tags_locations_only,3,1.45,0,30,L1,5,L1 (unchanged),False
CRE-0189,@creator_0189,34029,ACC,Lombok,budget hotel; hotel review; luxury hotel,48,18761,900528,stable,1,has_booking_links,18,7232.85,161,76,L3,12,L0→L2→L3,True
CRE-0190,@creator_0190,2095,ACC,Lombok,luxury hotel; budget hotel; hotel room tour,7,7998,55986,decreasing,6,tags_locations_only,8,26.86,1,28,L1,1,L0→L1,False
CRE-0191,@creator_0191,4830,FNB,Medan,cooking; food vlog; restaurant review,11,5441,59851,decreasing,16,tags_locations_only,4,2.22,1,21,L1,9,L0→L1,False
CRE-0192,@creator_0192,6976,FNB,Malang,mukbang; restaurant review; street food,16,9753,156048,increasing,5,mentions_prices,12,12.68,4,58,L2,5,L0→L1→L2→L3→L2,False
CRE-0193,@creator_0193,930,TTD,Malang,cultural tourism; theme park; nature,40,24514,980560,increasing,1,has_tiktok_shop,21,995.0,40,54,L3,3,L1→L2→L3,False
CRE-0194,@creator_0194,3222,ACC,Jakarta,resort vlog; villa tour; hotel review,6,6510,39060,increasing,117,none,7,9.59,0,38,L1,8,L1 (unchanged),False
CRE-0195,@creator_0195,1540,TTD,Bandung,hidden gems; beach; adventure,17,4184,71128,decreasing,0,none,8,19.61,1,52,L1,7,L0→L1,False
CRE-0196,@creator_0196,2088,FNB,Bandung,kuliner; mukbang; cooking,16,50,800,decreasing,10,none,9,1.51,0,43,L1,3,L0→L1,False
CRE-0197,@creator_0197,5732,FNB,Medan,cafe review; street food; restaurant review,20,10672,213440,increasing,10,none,7,8.2,2,36,L1,5,L0→L1→L2→L1,False
CRE-0198,@creator_0198,1471,TTD,Yogyakarta,adventure; wisata; beach,19,7063,134197,stable,20,tags_locations_only,5,29.04,1,35,L1,1,L1 (unchanged),False
CRE-0199,@creator_0199,12302,FNB,Jakarta,street food; food vlog; mukbang,29,6140,178060,stable,6,mentions_prices,8,4.46,1,46,L2,1,L0→L1→L2→L3→L2,False
CRE-0200,@creator_0200,200,TTD,Malang,wisata; adventure; nature,13,4936,64168,stable,13,mentions_prices,5,0.95,0,24,L1,12,L0→L1,False
